Sample,Iteration,Kernel,Accuracy,C,Gamma
S1,20,rbf,0.9064327485380117,0.021544346900318832,46.41588833612773
S1,20,poly,0.6783625730994152,0.004641588833612777,0.1
S1,21,linear,0.9707602339181286,0.1,46.41588833612773
S1,21,rbf,0.9707602339181286,1000.0,1000.0
S1,21,poly,0.6783625730994152,0.004641588833612777,0.001
S1,22,linear,0.9415204678362573,1000.0,215.44346900318823
S1,22,rbf,0.9707602339181286,1000.0,215.44346900318823
S1,22,poly,0.9649122807017544,46.41588833612773,215.44346900318823
S1,23,linear,0.9707602339181286,0.1,10.0
S1,23,rbf,0.9649122807017544,0.46415888336127775,0.021544346900318832
S1,23,poly,0.9649122807017544,46.41588833612773,0.004641588833612777
S1,24,linear,0.9415204678362573,46.41588833612773,2.154434690031882
S1,24,rbf,0.9590643274853801,46.41588833612773,0.004641588833612777
S1,24,poly,0.9649122807017544,46.41588833612773,1000.0
S1,25,linear,0.9824561403508771,0.46415888336127775,215.44346900318823
S1,25,rbf,0.9883040935672515,10.0,46.41588833612773
S1,25,poly,0.6783625730994152,0.004641588833612777,0.1
S1,26,linear,0.9415204678362573,0.001,10.0
S1,26,rbf,0.9707602339181286,215.44346900318823,10.0
S1,26,poly,0.6783625730994152,0.004641588833612777,0.004641588833612777
S1,27,linear,0.9590643274853801,0.004641588833612777,10.0
S1,27,rbf,0.9064327485380117,0.021544346900318832,1000.0
S1,27,poly,0.9181286549707602,2.154434690031882,1000.0
S1,28,linear,0.935672514619883,10.0,0.46415888336127775
S1,28,rbf,0.9707602339181286,215.44346900318823,0.004641588833612777
S1,28,poly,0.8771929824561403,0.46415888336127775,2.154434690031882
S1,29,linear,0.935672514619883,10.0,0.1
S1,29,rbf,0.9298245614035088,0.1,0.1
S1,29,poly,0.9590643274853801,215.44346900318823,0.021544346900318832
S1,30,linear,0.935672514619883,10.0,46.41588833612773
S1,30,rbf,0.9707602339181286,215.44346900318823,0.1
S1,30,poly,0.8128654970760234,0.1,0.46415888336127775
S1,31,linear,0.9415204678362573,0.001,0.001
S1,31,rbf,0.9298245614035088,0.1,0.004641588833612777
S1,31,poly,0.8771929824561403,0.46415888336127775,0.004641588833612777
S1,32,linear,0.9590643274853801,0.004641588833612777,10.0
S1,32,rbf,0.9649122807017544,0.46415888336127775,0.46415888336127775
S1,32,poly,0.9707602339181286,10.0,46.41588833612773
S1,33,linear,0.9649122807017544,0.021544346900318832,0.1
S1,33,rbf,0.9766081871345029,2.154434690031882,0.021544346900318832
S1,33,poly,0.6783625730994152,0.004641588833612777,10.0
S1,34,linear,0.9707602339181286,2.154434690031882,0.46415888336127775
S1,34,rbf,0.631578947368421,0.001,0.46415888336127775
S1,34,poly,0.8128654970760234,0.1,10.0
S1,35,linear,0.9415204678362573,1000.0,1000.0
S1,35,rbf,0.9707602339181286,215.44346900318823,1000.0
S1,35,poly,0.7485380116959064,0.021544346900318832,0.001
S1,36,linear,0.9824561403508771,0.46415888336127775,0.46415888336127775
S1,36,rbf,0.9649122807017544,0.46415888336127775,215.44346900318823
S1,36,poly,0.9707602339181286,10.0,0.001
S1,37,linear,0.9824561403508771,0.46415888336127775,0.1
S1,37,rbf,0.631578947368421,0.004641588833612777,0.46415888336127775
S1,37,poly,0.9532163742690059,1000.0,2.154434690031882
S1,38,linear,0.935672514619883,10.0,46.41588833612773
S1,38,rbf,0.9590643274853801,46.41588833612773,46.41588833612773
S1,38,poly,0.7485380116959064,0.021544346900318832,0.46415888336127775
S1,39,linear,0.9415204678362573,215.44346900318823,1000.0
S1,39,rbf,0.631578947368421,0.001,0.004641588833612777
S1,39,poly,0.7485380116959064,0.021544346900318832,215.44346900318823
S1,40,linear,0.9824561403508771,0.46415888336127775,46.41588833612773
S1,40,rbf,0.631578947368421,0.001,1000.0
S1,40,poly,0.9532163742690059,1000.0,0.021544346900318832
S1,41,linear,0.9415204678362573,0.001,2.154434690031882
S1,41,rbf,0.631578947368421,0.001,0.004641588833612777
S1,41,poly,0.9532163742690059,1000.0,0.001
S1,42,linear,0.9590643274853801,0.004641588833612777,0.004641588833612777
S1,42,rbf,0.9298245614035088,0.1,0.004641588833612777
S1,42,poly,0.9649122807017544,46.41588833612773,1000.0
S1,43,linear,0.9415204678362573,46.41588833612773,10.0
S1,43,rbf,0.9064327485380117,0.021544346900318832,215.44346900318823
S1,43,poly,0.8128654970760234,0.1,215.44346900318823
S1,44,linear,0.9707602339181286,2.154434690031882,1000.0
S1,44,rbf,0.9766081871345029,2.154434690031882,0.1
S1,44,poly,0.8771929824561403,0.46415888336127775,2.154434690031882
S1,45,linear,0.9415204678362573,0.001,0.001
S1,45,rbf,0.9707602339181286,215.44346900318823,215.44346900318823
